Wall time,Step,Value
1744246530.9341245,147,36.75
1744246532.743256,547,45.58333206176758
1744246533.6526396,747,46.6875
1744246534.5554507,947,47.349998474121094
1744246539.7843325,2103,47.79545593261719
1744246540.5834832,2279,47.47916793823242
1744246542.598527,2724,45.400001525878906
1744246543.3169184,2882,45.03125
1744246545.8479853,3438,45.23684310913086
1744246546.7654705,3638,45.474998474121094
1744246547.6715574,3838,45.69047546386719
1744246549.4900448,4238,46.065216064453125
1744246550.2087197,4396,45.79166793823242
1744246552.6833973,4941,45.939998626708984
1744246553.5968776,5141,45.939998626708984
1744246555.1956484,5493,45.459999084472656
1744246557.1184993,5920,42.16999816894531
1744246557.2109778,5940,40.369998931884766
1744246558.2199547,6164,38.849998474121094
1744246558.5364902,6233,37.88999938964844
1744246558.960078,6327,37.619998931884766
1744246559.0607753,6349,36.25
1744246559.9389968,6544,36.619998931884766
1744246561.855717,6967,27.290000915527344
1744246561.907656,6978,25.81999969482422
1744246562.0211468,7003,24.06999969482422
1744246562.5098512,7110,21.690000534057617
1744246562.6104121,7132,19.90999984741211
1744246563.315169,7287,17.940000534057617
1744246563.826648,7400,18.020000457763672
1744246564.1650975,7474,16.719999313354492
1744246565.5319893,7776,16.790000915527344
1744246566.0168717,7883,17.190000534057617
1744246566.2936327,7944,17.110000610351562
1744246566.9031057,8079,17.520000457763672
1744246567.535638,8219,16.75
1744246567.5914469,8231,16.610000610351562
1744246567.7956288,8276,16.68000030517578
1744246568.100654,8343,16.100000381469727
1744246569.0075397,8544,17.219999313354492
1744246569.4898689,8651,17.299999237060547
1744246570.6473615,8906,17.739999771118164
1744246570.93296,8968,16.809999465942383
1744246570.9844484,8979,15.789999961853027
1744246571.1517804,9015,15.40999984741211
1744246571.2706752,9040,14.920000076293945
1744246571.481937,9086,13.100000381469727
1744246571.5609422,9103,12.199999809265137
1744246572.0505412,9210,10.710000038146973
1744246572.142719,9230,10.109999656677246
1744246572.7033956,9351,8.069999694824219
1744246573.0622797,9427,6.449999809265137
1744246573.2057033,9458,6.059999942779541
1744246573.4235063,9505,5.539999961853027
1744246573.6422334,9551,5.460000038146973
1744246573.7031038,9564,5.489999771118164
1744246573.8600922,9597,5.409999847412109
1744246573.9262125,9611,5.25
1744246574.2070951,9670,4.599999904632568
1744246574.3684735,9705,4.630000114440918
1744246574.7358766,9783,4.070000171661377
1744246575.0117786,9841,3.8299999237060547
1744246575.092989,9858,3.890000104904175
1744246575.2375839,9888,3.8299999237060547
1744246575.3525064,9912,3.7699999809265137
1744246575.4086306,9924,3.7300000190734863
1744246575.4644983,9936,3.7200000286102295
1744246575.594068,9964,3.6700000762939453
1744246575.7340095,9994,3.75
1744246575.8039925,10009,3.630000114440918
1744246576.1731408,10088,3.559999942779541
1744246576.2244277,10099,3.5299999713897705
1744246576.40013,10137,3.5399999618530273
1744246576.45536,10148,3.5
1744246576.676271,10195,3.5399999618530273
1744246577.109129,10287,3.509999990463257
1744246577.2551854,10318,3.5399999618530273
1744246577.307639,10329,3.5
1744246577.4562616,10361,3.5199999809265137
1744246577.57275,10386,3.5
1744246577.6905258,10411,3.509999990463257
1744246577.9103127,10458,3.380000114440918
1744246577.9662542,10470,3.3299999237060547
1744246578.0228615,10482,3.3399999141693115
1744246578.1840875,10516,3.2100000381469727
1744246578.2488458,10530,3.1700000762939453
1744246578.3060648,10542,3.190000057220459
1744246578.3574913,10553,3.200000047683716
1744246578.47587,10578,3.1700000762939453
1744246578.5384781,10591,3.130000114440918
1744246578.739763,10633,3.1500000953674316
1744246578.797166,10646,3.1700000762939453
1744246578.8677306,10662,3.1500000953674316
1744246579.0428793,10700,3.140000104904175
1744246579.1378465,10721,3.240000009536743
1744246579.1978745,10734,3.2300000190734863
1744246579.2583053,10747,3.240000009536743
1744246579.4239702,10784,3.259999990463257
1744246579.5809724,10820,3.25
1744246579.637433,10833,3.2899999618530273
1744246579.6943877,10846,3.299999952316284
1744246579.838903,10879,3.369999885559082
1744246579.8874037,10890,3.369999885559082
1744246579.927781,10899,3.319999933242798
1744246579.9903486,10913,3.3499999046325684
1744246580.1182432,10941,3.3299999237060547
1744246580.215036,10962,3.2899999618530273
1744246580.3282812,10986,3.240000009536743
1744246580.4236455,11006,3.190000057220459
1744246580.5380554,11029,3.0799999237060547
1744246580.5823658,11038,3.0399999618530273
1744246580.6715305,11056,2.940000057220459
1744246580.739529,11070,2.9700000286102295
1744246580.7739942,11077,2.930000066757202
1744246580.837851,11089,2.9100000858306885
1744246580.8963764,11101,2.890000104904175
1744246580.998359,11122,2.890000104904175
1744246581.0511837,11133,2.869999885559082
1744246581.2894948,11184,2.8499999046325684
1744246581.4316201,11214,2.7300000190734863
1744246581.596905,11249,2.7300000190734863
1744246581.7137802,11274,2.7699999809265137
1744246581.7652597,11285,2.7899999618530273
1744246581.8081272,11294,2.740000009536743
1744246581.9124768,11316,2.7799999713897705
1744246581.973083,11329,2.819999933242798
1744246582.0842516,11353,2.8299999237060547
1744246582.1487548,11367,2.9000000953674316
1744246582.2189958,11382,2.930000066757202
1744246582.2662437,11392,2.9100000858306885
1744246582.5691776,11457,2.9800000190734863
1744246582.6302497,11470,3.0
1744246582.6825836,11481,2.9700000286102295
1744246582.8603582,11519,3.049999952316284
1744246582.9360614,11535,3.0899999141693115
1744246582.997126,11547,3.109999895095825
1744246583.0547585,11559,3.0999999046325684
1744246583.1576045,11580,3.059999942779541
1744246583.6590555,11683,3.1600000858306885
1744246583.727322,11697,3.1500000953674316
1744246583.8845983,11730,3.119999885559082
1744246583.9457057,11743,3.130000114440918
1744246583.9976356,11754,3.109999895095825
1744246584.1220427,11780,3.0999999046325684
1744246584.2394934,11805,3.119999885559082
1744246584.3498967,11828,3.0899999141693115
1744246584.3864005,11835,3.0
1744246584.481723,11855,2.9600000381469727
1744246584.5939412,11879,2.990000009536743
1744246584.6311114,11887,2.9800000190734863
1744246584.7467163,11913,2.950000047683716
1744246585.0239422,11975,2.9200000762939453
1744246585.0729725,11985,2.880000114440918
1744246585.134443,11999,2.890000104904175
1744246585.192847,12012,2.9100000858306885
1744246585.2598505,12027,2.9700000286102295
1744246585.5434752,12091,2.9800000190734863
1744246585.6536236,12116,3.0
1744246585.719916,12131,3.0299999713897705
1744246585.772269,12143,3.0799999237060547
1744246585.817405,12153,3.0899999141693115
1744246585.9759257,12188,3.0899999141693115
1744246586.018317,12197,3.0999999046325684
1744246586.1761322,12231,3.0399999618530273
1744246586.2888474,12255,3.0199999809265137
1744246586.345994,12268,3.0399999618530273
1744246586.48433,12299,3.0
1744246586.5633192,12316,2.890000104904175
1744246586.8096597,12370,2.7899999618530273
1744246586.8723147,12384,2.799999952316284
1744246586.9218807,12395,2.7899999618530273
1744246586.9587917,12403,2.7200000286102295
1744246587.0144913,12415,2.7200000286102295
1744246587.2159262,12458,2.700000047683716
1744246587.28397,12473,2.759999990463257
1744246587.371257,12492,2.7100000381469727
1744246587.5281136,12527,2.7200000286102295
1744246587.5866838,12540,2.7200000286102295
1744246587.6404712,12552,2.759999990463257
1744246587.6914198,12563,2.759999990463257
1744246587.7897341,12585,2.7799999713897705
1744246587.9046037,12610,2.809999942779541
1744246588.0338678,12638,2.9100000858306885
1744246588.089104,12650,2.9200000762939453
1744246588.153522,12664,2.940000057220459
1744246588.213778,12677,2.930000066757202
1744246588.3931806,12717,3.0199999809265137
1744246588.5046823,12742,3.059999942779541
1744246588.6196983,12768,3.0999999046325684
1744246588.6570249,12776,3.0299999713897705
1744246588.7154348,12789,3.069999933242798
1744246588.770462,12801,3.0899999141693115
1744246588.8291044,12814,3.109999895095825
1744246588.8985226,12829,3.140000104904175
1744246588.962968,12843,3.1600000858306885
1744246589.278066,12911,3.140000104904175
1744246589.4317305,12944,3.059999942779541
1744246589.4856195,12955,3.049999952316284
1744246589.7051392,13002,2.9600000381469727
1744246589.870301,13038,2.9600000381469727
1744246589.939149,13053,2.9800000190734863
1744246590.1032426,13089,3.0
1744246590.1525393,13100,2.990000009536743
1744246590.2055068,13112,2.9800000190734863
1744246590.254171,13123,2.940000057220459
1744246590.3049104,13134,2.9100000858306885
1744246590.3549252,13145,2.9100000858306885
1744246590.401071,13155,2.9100000858306885
1744246590.4540393,13167,2.9000000953674316
1744246590.5065672,13179,2.9000000953674316
1744246590.559521,13191,2.9200000762939453
1744246590.6165578,13204,2.930000066757202
1744246590.7264366,13229,2.9600000381469727
1744246590.7673206,13238,2.940000057220459
1744246590.8797858,13264,2.9600000381469727
1744246590.975094,13285,2.950000047683716
1744246591.0717933,13306,2.9200000762939453
1744246591.1182187,13316,2.890000104904175
1744246591.2799282,13351,2.859999895095825
1744246591.330448,13362,2.8499999046325684
1744246591.3849282,13374,2.8499999046325684
1744246591.4265175,13383,2.8299999237060547
1744246591.5793002,13416,2.819999933242798
1744246591.7223668,13447,2.799999952316284
1744246591.7772732,13459,2.799999952316284
1744246591.937324,13494,2.7699999809265137
1744246591.9793468,13503,2.740000009536743
1744246592.1925876,13549,2.75
1744246592.2393336,13559,2.740000009536743
1744246592.4053657,13596,2.799999952316284
1744246592.4579122,13608,2.799999952316284
1744246592.5175126,13622,2.8299999237060547
1744246592.5737274,13635,2.8399999141693115
1744246592.6279235,13647,2.8499999046325684
1744246592.6774585,13658,2.8399999141693115
1744246592.7257297,13669,2.859999895095825
1744246592.7660637,13678,2.8299999237060547
1744246592.8549945,13698,2.819999933242798
1744246592.9086776,13710,2.8499999046325684
1744246592.9741197,13725,2.859999895095825
1744246593.035051,13739,2.9200000762939453
1744246593.2602904,13789,2.950000047683716
1744246593.3108332,13800,2.9700000286102295
1744246593.3699496,13813,2.990000009536743
1744246593.4112525,13822,2.9700000286102295
1744246593.4652715,13834,2.990000009536743
1744246593.5526807,13853,2.940000057220459
1744246593.6455836,13873,2.9000000953674316
1744246593.744172,13894,2.859999895095825
1744246593.8124754,13909,2.869999885559082
1744246593.8679237,13921,2.859999895095825
1744246593.9902685,13947,2.890000104904175
1744246594.028777,13955,2.859999895095825
1744246594.083196,13967,2.890000104904175
1744246594.2071657,13996,2.9800000190734863
1744246594.3133762,14020,2.950000047683716
1744246594.5688515,14076,2.990000009536743
1744246594.6219606,14087,2.9800000190734863
1744246594.7781122,14120,2.9800000190734863
1744246594.8249846,14130,2.9600000381469727
1744246594.8916214,14144,3.0
1744246594.9483528,14156,3.0299999713897705
1744246595.001691,14167,3.059999942779541
1744246595.0538378,14178,3.049999952316284
1744246595.0878487,14185,3.0
1744246595.209993,14211,3.0199999809265137
1744246595.2701275,14224,3.0299999713897705
1744246595.3286047,14237,3.0399999618530273
1744246595.3636136,14245,2.9800000190734863
1744246595.4558372,14266,2.990000009536743
1744246595.6111765,14300,2.9100000858306885
1744246595.6753244,14313,2.930000066757202
1744246595.8384542,14346,2.8299999237060547
1744246595.9864867,14377,2.8299999237060547
1744246596.0469189,14389,2.8499999046325684
1744246596.1012623,14400,2.799999952316284
1744246596.2697263,14435,2.7899999618530273
1744246596.390747,14461,2.8299999237060547
1744246596.4460428,14473,2.880000114440918
1744246596.5157535,14488,2.9100000858306885
1744246596.560776,14498,2.869999885559082
1744246596.592806,14505,2.809999942779541
1744246596.6488166,14518,2.809999942779541
1744246596.70833,14531,2.859999895095825
1744246596.884668,14570,2.9200000762939453
1744246596.9409409,14582,2.9100000858306885
1744246596.9871702,14592,2.9200000762939453
1744246597.0291896,14601,2.880000114440918
1744246597.200118,14638,2.9200000762939453
1744246597.5714128,14718,2.930000066757202
1744246597.7323399,14752,2.9100000858306885
1744246597.7835507,14763,2.9000000953674316
1744246597.891551,14786,2.880000114440918
1744246597.9440863,14797,2.9200000762939453
1744246597.978622,14804,2.859999895095825
1744246598.0440805,14818,2.869999885559082
1744246598.0942006,14828,2.8399999141693115
1744246598.1926353,14850,2.799999952316284
1744246598.241461,14861,2.7899999618530273
1744246598.3058448,14876,2.8399999141693115
1744246598.4029217,14898,2.8399999141693115
1744246598.4596183,14911,2.8399999141693115
1744246598.5948906,14940,2.7899999618530273
1744246598.6978028,14962,2.7699999809265137
1744246598.80012,14984,2.759999990463257
1744246598.8548055,14996,2.7799999713897705
1744246598.9105334,15008,2.7899999618530273
1744246599.2304242,15077,2.799999952316284
1744246599.285987,15089,2.8499999046325684
1744246599.3561287,15104,2.859999895095825
1744246599.558275,15148,2.869999885559082
1744246599.608862,15159,2.8299999237060547
1744246599.702719,15179,2.809999942779541
1744246599.812793,15203,2.8299999237060547
1744246599.983746,15240,2.880000114440918
1744246600.2013745,15288,2.9200000762939453
1744246600.4089158,15334,2.9000000953674316
1744246600.4593573,15345,2.9000000953674316
1744246600.5022736,15354,2.9100000858306885
1744246600.5805385,15371,2.819999933242798
